id,date,store_nbr,family,sales,onpromotion,city,state,type,cluster,transactions,dcoilwtico,is_holiday,year,month,day,day_of_week,week_of_year,is_weekend,quarter,has_promotion,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_28,avg_daily_sales_7,avg_daily_sales_14,supplier_lead_time,simulated_stock_on_hand,reorder_point,days_until_stockout,stockout_risk_flag,reorder_urgency_score,forecast_next_day_sales,forecast_next_7_days,recommended_action,priority_score,priority_rank
3000169,2017-08-15,39,CLEANING,1256.0,22,Cuenca,Azuay,B,6,1425.0,47.57,1,2017,8,15,1,33,0,3,1,1619.0,1328.0,3883.0,1283.2857142857142,2017.857142857143,2218.535714285714,288.2740098619684,1645.891416294774,1283.2857142857142,2017.857142857143,5.0,20179.0,12107.0,15.724479572525883,0,-8072.0,1283.2857142857142,8983.0,Overstock risk,0.0,13074.0
2999509,2017-08-15,20,CLEANING,1146.0,25,Quito,Pichincha,B,6,1516.0,47.57,1,2017,8,15,1,33,0,3,1,1165.0,1149.0,5195.0,1207.7142857142858,1764.928571428571,2011.9285714285716,261.20471810805503,1518.097882184867,1207.7142857142858,1764.928571428571,5.0,17649.0,10590.0,14.613555713271824,0,-7059.0,1207.7142857142858,8454.0,Overstock risk,0.0,13074.0
2999542,2017-08-15,21,CLEANING,1064.0,22,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1059.0,47.57,1,2017,8,15,1,33,0,3,1,1102.0,1169.0,3399.0,1169.571428571429,1676.2857142857142,1824.0,309.31960663304733,1150.8970414420226,1169.571428571429,1676.2857142857142,5.0,16763.0,10058.0,14.33260046415048,0,-6705.0,1169.571428571429,8187.000000000002,Overstock risk,0.0,13074.0
2999278,2017-08-15,14,CLEANING,821.0,18,Riobamba,Chimborazo,C,7,1241.0,47.57,1,2017,8,15,1,33,0,3,1,1139.0,1081.0,2912.0,882.5714285714286,1356.071428571429,1530.0357142857142,235.9652920402069,1168.3139000489643,882.5714285714286,1356.071428571429,5.0,13561.0,8136.0,15.365328585302688,0,-5425.0,882.5714285714286,6178.0,Overstock risk,0.0,13074.0
2999212,2017-08-15,12,CLEANING,850.0,15,Latacunga,Cotopaxi,C,15,1096.0,47.57,1,2017,8,15,1,33,0,3,1,712.0,625.0,2646.0,694.4285714285714,1011.2857142857144,1159.392857142857,76.99103225456298,807.1820823216814,694.4285714285714,1011.2857142857144,5.0,10113.0,6068.0,14.56305286977988,0,-4045.0,694.4285714285714,4861.0,Overstock risk,0.0,13074.0
2999938,2017-08-15,32,CLEANING,789.0,17,Guayaquil,Guayas,C,3,615.0,47.57,1,2017,8,15,1,33,0,3,1,475.0,333.0,1675.0,478.8571428571428,773.5714285714286,754.1071428571429,188.26880479023276,576.1682071323013,478.8571428571428,773.5714285714286,5.0,7736.0,4641.0,16.15513126491647,0,-3095.0,478.8571428571428,3351.9999999999995,Overstock risk,0.0,13074.0
2999872,2017-08-15,30,CLEANING,914.0,17,Guayaquil,Guayas,C,3,825.0,47.57,1,2017,8,15,1,33,0,3,1,378.0,512.0,2544.0,447.7142857142857,692.0,683.7857142857143,70.43605678368225,502.9482969630063,447.7142857142857,692.0,5.0,6920.0,4152.0,15.45628589661774,0,-2768.0,447.7142857142857,3134.0,Overstock risk,0.0,13074.0
3000286,2017-08-15,41,PERSONAL CARE,240.0,10,Machala,El Oro,D,4,1003.0,47.57,1,2017,8,15,1,33,0,3,1,220.0,251.0,838.0,297.85714285714283,437.07142857142856,468.3928571428572,74.6891972809736,327.4880081814368,297.85714285714283,437.07142857142856,4.0,4371.0,2098.0,14.674820143884894,0,-2273.0,297.85714285714283,2085.0,Overstock risk,0.0,13074.0
3000283,2017-08-15,41,"LIQUOR,WINE,BEER",42.0,4,Machala,El Oro,D,4,1003.0,47.57,1,2017,8,15,1,33,0,3,1,27.0,45.0,116.0,80.42857142857143,124.21428571428572,157.64285714285714,58.40906648474309,147.00723446186925,80.42857142857143,124.21428571428572,4.0,1242.0,596.0,15.44227353463588,0,-646.0,80.42857142857143,563.0,Overstock risk,0.0,13074.0
3000508,2017-08-15,48,HOME AND KITCHEN II,16.0,1,Quito,Pichincha,A,14,2722.0,47.57,1,2017,8,15,1,33,0,3,1,26.0,39.0,45.0,32.0,59.07142857142857,76.96428571428571,13.711309200800654,131.35715580413722,32.0,59.07142857142857,4.0,591.0,284.0,18.46875,0,-307.0,32.0,224.0,Overstock risk,0.0,13074.0
3000145,2017-08-15,38,HOME AND KITCHEN II,22.0,2,Loja,Loja,D,4,1445.0,47.57,1,2017,8,15,1,33,0,3,1,25.0,29.0,57.0,23.857142857142858,52.85714285714285,69.39285714285714,7.033931367037094,66.46544035741253,23.857142857142858,52.85714285714285,4.0,529.0,254.0,22.173652694610777,0,-275.0,23.857142857142858,167.0,Overstock risk,0.0,13074.0
3000012,2017-08-15,34,HOME AND KITCHEN I,22.0,0,Guayaquil,Guayas,B,6,2007.0,47.57,1,2017,8,15,1,33,0,3,0,11.0,15.0,48.0,20.428571428571427,30.214285714285715,31.678571428571427,6.679749068568566,13.397217984919662,20.428571428571427,30.214285714285715,4.0,302.0,145.0,14.783216783216783,0,-157.0,20.428571428571427,143.0,Overstock risk,0.0,13074.0
2999452,2017-08-15,19,HOME AND KITCHEN II,9.0,0,Guaranda,Bolivar,C,15,1158.0,47.57,1,2017,8,15,1,33,0,3,0,28.0,12.0,18.0,13.714285714285714,23.857142857142858,19.25,7.631388814501246,22.421261404367133,13.714285714285714,23.857142857142858,4.0,239.0,115.0,17.427083333333336,0,-124.0,13.714285714285714,96.0,Overstock risk,0.0,13074.0
2999188,2017-08-15,11,HOME AND KITCHEN II,14.0,0,Cayambe,Pichincha,B,6,2360.0,47.57,1,2017,8,15,1,33,0,3,0,11.0,12.0,26.0,14.0,21.571428571428573,22.035714285714285,4.795831523312754,8.21688479700163,14.0,21.571428571428573,4.0,216.0,104.0,15.428571428571429,0,-112.0,14.0,98.0,Overstock risk,0.0,13074.0
2999617,2017-08-15,23,HOME AND KITCHEN II,20.0,2,Ambato,Tungurahua,D,9,946.0,47.57,1,2017,8,15,1,33,0,3,1,19.0,10.0,8.0,10.857142857142858,20.785714285714285,15.857142857142858,6.148944934663687,27.94135960757057,10.857142857142858,20.785714285714285,4.0,208.0,100.0,19.157894736842103,0,-108.0,10.857142857142858,76.0,Overstock risk,0.0,13074.0
3000122,2017-08-15,37,PET SUPPLIES,9.0,0,Cuenca,Azuay,D,2,1373.0,47.57,1,2017,8,15,1,33,0,3,0,18.0,7.0,8.0,10.857142857142858,15.285714285714286,13.321428571428571,3.848314411469477,6.1164839296261935,10.857142857142858,15.285714285714286,4.0,153.0,73.0,14.092105263157894,0,-80.0,10.857142857142858,76.0,Overstock risk,0.0,13074.0
2999713,2017-08-15,26,GROCERY II,3.0,0,Guayaquil,Guayas,D,10,534.0,47.57,1,2017,8,15,1,33,0,3,0,6.0,13.0,45.0,4.285714285714286,12.0,18.642857142857142,4.498677054212225,15.769671514731703,4.285714285714286,12.0,4.0,120.0,58.0,28.0,0,-62.0,4.285714285714286,30.0,Overstock risk,0.0,13074.0
2999715,2017-08-15,26,HOME AND KITCHEN I,12.0,1,Guayaquil,Guayas,D,10,534.0,47.57,1,2017,8,15,1,33,0,3,1,3.0,0.0,17.0,6.857142857142857,11.214285714285714,11.142857142857142,5.3363086938624615,6.0413040394730615,6.857142857142857,11.214285714285714,4.0,112.0,54.0,16.333333333333336,0,-58.0,6.857142857142857,48.0,Overstock risk,0.0,13074.0
